Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales
1;CA-2018-126221;30/12/2018;5/1/2019;Standard Class;CC-12430;Chuck Clark;Home Office;United States;Columbus;Indiana;47201;Central;OFF-AP-10002457;Office Supplies;Appliances;Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red;209.3
2;CA-2018-143259;30/12/2018;3/1/2019;Standard Class;PO-18865;Patrick O'Donnell;Consumer;United States;New York City;New York;10009;East;FUR-BO-10003441;Furniture;Bookcases;Bush Westfield Collection Bookcases, Fully Assembled;323.136
3;CA-2018-143259;30/12/2018;3/1/2019;Standard Class;PO-18865;Patrick O'Donnell;Consumer;United States;New York City;New York;10009;East;TEC-PH-10004774;Technology;Phones;Gear Head AU3700S Headset;90.93
4;CA-2018-143259;30/12/2018;3/1/2019;Standard Class;PO-18865;Patrick O'Donnell;Consumer;United States;New York City;New York;10009;East;OFF-BI-10003684;Office Supplies;Binders;Wilson Jones Legal Size Ring Binders;52.776
5;CA-2018-115427;30/12/2018;3/1/2019;Standard Class;EB-13975;Erica Bern;Corporate;United States;Fairfield;California;94533;West;OFF-BI-10002103;Office Supplies;Binders;Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl;13.904
6;CA-2018-115427;30/12/2018;3/1/2019;Standard Class;EB-13975;Erica Bern;Corporate;United States;Fairfield;California;94533;West;OFF-BI-10004632;Office Supplies;Binders;GBC Binding covers;20.72
7;CA-2018-156720;30/12/2018;3/1/2019;Standard Class;JM-15580;Jill Matthias;Consumer;United States;Loveland;Colorado;80538;West;OFF-FA-10003472;Office Supplies;Fasteners;Bagged Rubber Bands;3.024
8;CA-2018-118885;29/12/2018;2/1/2019;Standard Class;JG-15160;James Galang;Consumer;United States;Los Angeles;California;90049;West;FUR-CH-10002880;Furniture;Chairs;Global High-Back Leather Tilter, Burgundy;393.568
9;CA-2018-118885;29/12/2018;2/1/2019;Standard Class;JG-15160;James Galang;Consumer;United States;Los Angeles;California;90049;West;TEC-PH-10002563;Technology;Phones;Adtran 1202752G1;302.376
10;US-2018-102638;29/12/2018;31/12/2018;First Class;MC-17845;Michael Chen;Consumer;United States;New York City;New York;10035;East;OFF-FA-10002988;Office Supplies;Fasteners;Ideal Clamps;6.03
